,tweet
42,"['deklarasi', 'rawan', 'ganjar', 'muda', 'padjajaran', 'jawa', 'barat', 'asa', 'indonesia', 'sosok', 'ganjar', 'pranowo', 'cocok', 'terus', 'bangun', 'jokowi']"
43,"['alhamdulillah', 'sdg', 'sumsel', 'lanjut', 'agenda', 'rutin', '2', 'kab', 'wilayah', 'sumatera', 'selatan', '17', 'september', '2022']"
44,"['ambil', 'tajuk', 'jum', 'at', 'berkah', 'sahabat', 'ganjar', 'buka', 'forum', 'komunikasi', 'warga', 'bagi', 'sembako', 'ada', 'doorprize', 'tarik', 'semarak', 'acara']"
45,"['sahabat', 'ganjar', 'galang', 'suara', 'dukung', 'ganjar', 'pranowo', 'jalin', 'silaturahmi', 'masyarakat', 'hadir', 'kecbekasi', 'barat', 'kota', 'bekas', 'jawa', 'barat']"
46,"['program', 'kartu', 'nelayan', 'asuransi', 'nelayan', 'optimal', 'ganjar', 'nelayan', 'dampak', 'sesuai', 'bbm', 'jamin', 'sejahtera', 'trending', 'twitter', 'ufotable', 'typa', 'girl']"
47,"['eko', 'kuntadhi', 'klaim', 'kenal', 'ganjar', 'pranowo']"
48,"['warga', 'desa', 'donosari', 'kendal', 'jawa', 'syukur', 'hadap', 'dana', 'bantu', 'perintah', 'provinsi', 'realisasi', 'bu', 'sri', 'ufotable']"
49,"['duta', 'australia', 'indonesia', 'penny', 'wiliam', 'ujung', 'gubernur', 'jateng', 'ganjar', 'pranowo']"
50,"['nama', 'dokter', 'lie', 'kenal', 'aksi', 'bangun', 'rumah', 'sakit', 'apung', 'kapal', 'sederhana']"
51,"['dokter', 'legendaris', 'kota', 'padang', 'gubernur', 'jawa', 'ganjar', 'pranowo', 'kepincut', 'dokter', 'nama', 'dr', 'lie', 'dharmawan', 'tugas', 'medis', 'senior', 'asal', 'kota', 'padang']"
52,"['1000', 'paket', 'sembako', 'bagi', 'dpn', 'srikandi', 'ganjar', 'masyarakat', 'kota', 'bogor']"
53,"['gubernur', 'dapet', 'give', 'away', 'sogo']"
54,"['lomba', 'juru', 'sumatera', 'utara', 'hotel', 'aryaduta', 'medan', 'tahap', 'praktik', 'configuration', 'essay', 'praktik', 'debian', 'presentasi', '20', 'tim', 'kompetisi', 'semangat', 'tampil', 'baik', 'hadap', 'juri']"
55,"['ekokuntadhi', 'gw', 'kenal', 'dg', 'eko', 'kuntadi', 'gegara', 'medsos', 'boro', 'boro', 'eko', 'kenal', 'gw', 'yg', 'gwe', 'suka', 'gaya', 'elu', 'ko', 'salam', 'juang']"
56,"['srikandi', 'ganjar', 'dpw', 'sulawesi', 'selatan', 'bantu', 'tani', 'panen', 'padi', 'kabupaten', 'sidrap']"
57,"['semangat', 'serta', 'lomba', 'juru', 'siswa', 'sahabat', 'ganjar']"
58,"['siswasiswi', 'smk', 'sumatera', 'utara', 'sahabat', 'ganjar', 'gelar', 'lomba', 'juru', 'siswa', 'sumut', 'kota', 'medan', 'sumatera', 'utara', 'serta', 'registrasi', 'lanjut', 'sambut', 'dpw', 'sumut', 'doa']"
59,"['lomba', 'juru', 'sumatera', 'utara', 'hotel', 'aryaduta', 'medan', 'tahap', 'praktik', 'configuration', 'essay', 'praktik', 'debian', 'presentasi', '20', 'tim', 'berkompetidi', 'semangat', 'tampil', 'baik', 'hadap', 'juri']"
60,"['ganjar', 'pranowo', 'sepak', 'terjang', 'senayan', '4', 'jibaku', 'uu', 'desa']"
61,"['terimakasih', 'tani', 'jasa', 'bidang', 'pangan', 'dukung', 'ganjar', 'tani', 'banjar', 'cinta', 'ganjar']"
62,['rismawidiono']
63,"['sahabat', 'ganjar', 'unjung', 'emak', 'emak', 'militan', 'camat', 'cipedes', 'kota', 'tasikmalaya', 'riah', 'acara', 'rawan', 'ganjar', 'gelar', 'bazar', 'murah', 'deklarasi', 'emak', 'emak', 'militan', 'ganjar', 'pranowo', 'sukses', '2024']"
64,"['riah', 'acara', 'rawan', 'ganjar', 'gelar', 'bazar', 'murah', 'deklarasi', 'emak', 'emak', 'militan', 'ganjar', 'pranowo', 'sukses', '2024']"
65,"['hallo', 'emak', 'emak', 'militan', 'cipedes', 'kali', 'sahabat', 'ganjar', 'unjung', 'emak', 'emak', 'militan', 'camat', 'cipedes', 'kota', 'tasikmalaya']"
66,"['sahabat', 'ganjar', 'unjung', 'emak', 'emak', 'militan', 'camat', 'cipedes', 'kota', 'tasikmalaya', 'riah', 'acara', 'rawan', 'ganjar', 'gelar', 'bazar', 'murah', 'deklarasi', 'emak', 'emak', 'militan', 'ganjar', 'pranowo', 'sukses', '2024']"
67,"['seru', 'acara', 'yaqowiyu']"
68,"['mas', 'ganjar', 'jalan', 'instruksi', 'presiden', 'jokowi', 'guna', 'kendara', 'dinas', 'bahan', 'bakar', 'listrik', 'guna', 'kendara', 'listrik', 'laksana', 'anggar', 'pranowo']"
69,"['jawa', 'catat', 'provinsi', 'tingkat', 'inflasi', 'rendah', 'tiga', 'indonesia', 'trending', 'twitter', 'bu', 'sri', 'ufotable', 'typa', 'girl', 'yeah', 'yeah', 'yeah', 'v', 'film', 'teaser', 'is', 'coming']"
70,"['yayasan', 'dokter', 'peduli', 'doctorshare', 'temu', 'puri', 'gedeh', 'kota', 'semarang', 'datang', 'realisasi', 'program', 'sehat', 'jawa', 'bu', 'sri', 'ufotable', 'typa', 'girl', 'yeah', 'yeah', 'yeah']"
71,"['cocok', 'banget', 'deh', 'ah', 'typa', 'girl']"
72,"['ambil', 'tajuk', 'jum', 'at', 'berkah', 'sahabat', 'ganjar', 'buka', 'forum', 'komunikasi', 'warga', 'bagi', 'sembako', 'ada', 'doorprize', 'tarik', 'semarak', 'acara']"
